immowebCode,type,priceString,price,country,province,district,locality,postalCode,street,latitude,longitude,availableDate,neighborhoodOrLocality,constructionYear,floor,numberOfFloors,buildingCondition,numberOfFrontages,outdoorParkingSpaces,surroundingsType,livingArea,livingRoomSurface,kitchenType,kitchenSurface,bedrooms,bedroom1Surface,bedroom2Surface,bathrooms,toilets,basement,furnished,terraceSurface,elevator,disabilityAccess,tvCable,visioPhone,swimmingPool,energyConsumption,energyClass,EPCReportReference,CO2Emission,yearlyEnergyConsumption,heatingType,thermicSolarPanels,doubleGlazing,planningPermission,subdivisionPermit,floodZoneType,landUseDesignation,cadastralIncome,tenementBuilding,streetFrontageWidth,coveredParkingSpaces,basementSurface,monthlyCharges,diningRoom,showerRooms,intercom,bedroom3Surface,armoredDoor,propertyName,laundryRoom,terraceOrientation,caretaker,commonWaterHeater,livingRoom,terrace,attic,bedroom4Surface,officeSurface,office,alarm,eLevel,heatPump,PVSolarPanels,plotSurface,lotWidth,gasWaterElectric,gardenSurface,gardenOrientation,dressingRoom,professionalSpace,sewerConnection,jacuzzi,sauna,buildingType,fireplaces,garden,airConditioning,internet,professionalSpaceSurface,atticSurface,isolated,bedroom5Surface,streetFacing,woodedLand,rearPlot,flatLand
10159481,Apartment,"€329,000",329000.0,Belgium,Flemish Brabant,Halle-Vilvoorde,Dworp,1653.0,Alsembergsesteenweg 660,50.73,4.3,None,None,1961,1,None,Good,2,None,None,106,None,2,12,2,18,13,1,1,2,1,10,2,0,0,0,0,269,E,20211230-0000602489-01-1,None,None,3,0,2,0,0,0,None,"€ 1,1151115 €",1,None,None,None,,0,None,0,None,0,None,0,0,0,0,0,0,0,None,None,0,0,None,0,0,None,None,0,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
10158500,Apartment,"€357,500",547500.0,Belgium,Walloon Brabant,Nivelles,Waterloo,1410.0,Chaussee Bara 339,50.71,4.39,December 1 2023 - 12:00 AM,Brabant Wallon,None,None,None,None,None,None,None,None,None,0,None,None,None,None,None,None,0,0,None,0,0,0,0,0,15,A,Not specified,32,None,0,0,0,0,0,1,None,,1,None,2,None,,0,None,0,None,0,None,0,0,0,0,0,0,0,None,None,0,0,None,0,0,None,None,0,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
10158413,Apartment,"€361,800",693450.0,Belgium,Walloon Brabant,Nivelles,Waterloo,1410.0,Chaussee Bara 339,50.71,4.39,December 31 2022 - 12:00 AM,None,None,None,None,None,None,None,None,None,None,0,None,None,None,None,None,None,0,0,None,0,0,0,0,0,0,None,Not specified,None,None,0,0,0,0,0,1,None,,1,None,1,None,,0,None,0,None,0,None,0,0,0,0,0,0,0,None,None,0,0,None,0,0,None,None,0,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
10158588,Apartment,"€365,000",365000.0,Belgium,Walloon Brabant,Nivelles,Waterloo,1410.0,Chaussee Bara 339,50.71,4.39,December 31 2023 - 12:00 AM,None,None,None,None,None,None,None,None,None,None,0,None,None,None,None,None,None,0,0,None,0,0,0,0,0,86,B,Not specified,100,None,0,0,0,0,0,0,None,,1,None,1,None,,0,None,0,None,0,None,0,0,0,0,0,0,0,None,None,0,0,None,0,0,None,None,0,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
10157660,Apartment,"€369,000",369000.0,Belgium,East Flanders,Gent,Gent,9000.0,Sint-Denijslaan 1,51.03,3.72,October 3 2022 - 12:00 AM,None,2007,3,4,Good,2,None,Urban,98,38,8,7,2,13,10,1,2,0,1,10,1,1,2,0,1,127,B,20220616-0002623010-RES-1,2505,None,1,0,2,0,0,1,"Living area (residential, urban or rural)",€ 781781 €,1,8,None,None,,0,None,2,None,0,None,0,0,0,0,0,0,2,None,None,0,0,None,0,0,None,None,0,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
10158422,Apartment,"€427,125",427125.0,Belgium,Walloon Brabant,Nivelles,Waterloo,1410.0,Chaussee Bara 339,50.71,4.39,December 31 2022 - 12:00 AM,None,None,None,None,None,None,1,None,None,None,0,None,None,None,None,None,None,0,0,None,0,0,0,0,0,0,None,Not specified,None,None,0,0,0,0,0,0,None,,1,None,1,None,,0,None,0,None,0,None,0,0,0,0,0,0,0,None,None,0,0,None,0,0,None,None,0,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
10157528,Apartment,Make,645000.0,Belgium,Brussels,Brussels,Uccle,1180.0,Chaussee de Waterloo 1382,50.79,4.38,October 3 2022 - 12:00 AM,Projets Bruxelles Sud,None,None,None,None,None,None,None,None,None,0,None,None,None,None,None,None,0,0,None,0,0,0,0,0,113,C,c,None,None,0,0,0,0,0,1,None,,1,None,None,None,,0,None,0,None,0,None,0,0,0,0,0,0,0,None,None,0,0,None,0,0,None,None,0,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
10158470,Apartment,"€447,175",447175.0,Belgium,Walloon Brabant,Nivelles,Waterloo,1410.0,Chaussee Bara 339,50.71,4.39,December 31 2022 - 12:00 AM,None,None,None,None,None,None,None,None,None,None,0,None,None,None,None,None,None,0,0,None,0,0,0,0,0,0,None,Not specified,None,None,0,0,0,0,0,1,None,,1,None,1,None,,0,None,0,None,0,None,0,0,0,0,0,0,0,None,None,0,0,None,0,0,None,None,0,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
10157565,Apartment,"€595,000",595000.0,Belgium,Brussels,Brussels,Bruxelles,1150.0,Avenue de Tervueren 446,50.82,4.45,None,Bruxelles Est + Sud/Est,1964,6,7,To renovate,2,None,Urban,175,52,4,13,4,28,12,2,2,2,1,50,2,0,0,2,0,453,G,20220811-0000618665-01-4,91,None,1,0,2,0,0,0,"Living area (residential, urban or rural)","€ 3,3143314 €",1,None,None,None,,0,None,2,12,2,None,0,0,0,0,0,0,0,11,11,2,2,None,0,0,None,None,0,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
10157563,Apartment,"€595,000",595000.0,Belgium,Brussels,Brussels,Bruxelles,1150.0,Avenue de Tervueren 446,50.82,4.45,None,Bruxelles Est + Sud/Est,1964,6,7,To renovate,2,None,Urban,175,52,4,13,4,28,12,2,2,2,1,50,2,0,0,2,0,453,G,20220811-0000618665-01-4,91,None,1,0,2,0,0,0,"Living area (residential, urban or rural)","€ 3,3143314 €",1,None,None,None,,0,None,2,12,2,None,0,0,0,0,0,0,0,11,11,2,2,None,0,0,None,None,0,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
10162732,Apartment,"€295,000",295000.0,Belgium,West Flanders,Brugge,Zeebrugge,8380.0,Vismynstraat 13,51.33,3.2,None,None,None,2,None,Good,None,None,None,62,None,0,None,2,None,None,1,1,2,1,None,2,0,0,0,0,204,C,Not specified,None,None,2,0,2,2,1,1,None,€ 910910 €,1,None,1,None,,0,None,0,None,0,None,0,0,1,0,0,0,0,None,None,0,1,204,1,1,None,None,0,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
10162728,Apartment,"€210,000",210000.0,Belgium,Antwerp,Antwerp,Edegem,2650.0,Strijdersstraat 8,51.16,4.44,None,None,1972,9,17,Good,2,None,None,91,33,3,9,2,14,14,1,1,0,1,17,2,0,0,0,0,153,B,20220728-0002646943-RES-1,None,None,1,0,2,0,2,1,None,€ 840840 €,1,None,None,None,€ 232232 €,0,None,0,None,2,Memling,0,0,0,0,0,0,0,None,None,0,0,None,0,0,None,None,0,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
10162727,Apartment,"€335,000",335000.0,Belgium,Antwerp,Antwerp,Edegem,2650.0,Strijdersstraat 8,51.16,4.44,None,None,None,None,None,None,2,None,None,160,55,2,30,3,19,19,1,1,2,1,22,0,0,0,0,0,358,D,20220824-0002661073-RES-1,None,None,1,0,2,0,0,0,None,,1,5,None,None,,0,None,0,12,0,None,0,0,0,0,0,0,0,None,None,0,0,None,0,0,101,5,2,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
10162726,Apartment,"€299,000",299000.0,Belgium,Antwerp,Antwerp,Edegem,2650.0,Strijdersstraat 8,51.16,4.44,None,Drie eiken,None,None,None,To renovate,2,None,None,163,30,3,10,4,38,12,1,1,0,1,35,0,0,0,0,0,669,F,20220719-0002643051-RES-1,None,None,3,0,2,0,0,1,None,€ 659659 €,1,5,None,20,,0,None,0,12,0,None,0,0,0,0,0,0,0,8,None,0,0,None,0,0,290,5,2,200,45,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
